Unnamed: 0,taxon,Kingdom,Phylum,Class,Order,Family,Genus,accession
3209,Brevibacterium sp. CS2,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,Brevibacterium,
3210,Caulobacter sp.,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,
3211,Salinirubrum litoreum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Salinirubrum,
3212,Prolixibacteraceae bacterium UBA1413,Bacteria,Bacteroidota,Bacteroidia,Marinilabiliales,Prolixibacteraceae,,
3213,Corynebacterium glucuronolyticum,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,
3214,Paenibacillus kribbensis,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,
3215,Sphingomonas parva,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
3216,Eleftheria terrae,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Eleftheria,
3217,Desulfobacteraceae bacterium RAAP-1,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,,
3218,Frigoribacterium sp. PvP032,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Frigoribacterium,
3219,Geodermatophilus sp. TF02-6,Bacteria,Actinomycetota,Actinomycetes,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,
3220,Paenibacillus azotifigens,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,
3221,Luteitalea pratensis,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea,
3222,Aquabacterium lacunae,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Aquabacterium,
3223,Rhodovulum imhoffii,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rhodovulum,
3224,Sphingopyxis sp. DBS4,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,
3225,Algoriphagus locisalis,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,
3226,Dyella sp. AtDHG13,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,
3227,Rhodopirellula baltica,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Rhodopirellula,
3228,Sphingopyxis sp. JAI108,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,
3229,Mycobacterium ahvazicum,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,
3230,Trichoderma asperellum,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,
3231,Rhodobacter sp. 24-YEA-8,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rhodobacter,
3232,Pseudomonas psychrotolerans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3233,Pseudomonas psychrotolerans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3234,Pseudomonas psychrotolerans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3235,Pseudomonas psychrotolerans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3236,Pseudomonas psychrotolerans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3237,Pseudomonas psychrotolerans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3238,Nocardioides pantholopis,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,
3239,Phyllobacterium endophyticum,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Phyllobacterium,
3240,Novosphingobium mathurense,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,
3241,Penicillium freii,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,
3242,Maritimibacter sp. 55A14,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Maritimibacter,
3243,Alistipes sp. D31t1_170403_E11,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,
3244,Caulobacter soli,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,
3245,Streptomyces sp. NRRL F-2747,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
3246,Streptomyces sp. NRRL F-2747,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
3247,Edaphobacter dinghuensis,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Edaphobacter,
3248,Cocleimonas flava,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Cocleimonas,
3249,Croceicoccus sp. YJ47,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Croceicoccus,
3250,Mesorhizobium sp. B2-5-3,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,
3251,Synechococcus sp. CC9616,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,
3252,Isoptericola halotolerans,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Promicromonosporaceae,Isoptericola,
3253,Deltaproteobacteria bacterium HGW-Deltaproteobacteria-2,Bacteria,,Deltaproteobacteria,,,,
3254,Bacillus sp. 1NLA3E,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
3255,Burkholderiaceae bacterium DAT-1,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,
3256,Amycolatopsis magusensis,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,
3257,Chryseotalea sanaruensis,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Chryseotalea,
3258,Rubrivivax sp. A210,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Rubrivivax,
3259,Amycolatopsis sp. WAC 01376,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,
3260,Agromyces aureus,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Agromyces,
3261,Microbacterium sp. LCT-H2,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,
3262,Parapedobacter koreensis,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Parapedobacter,
3263,Streptomyces tsukubensis,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
3264,Streptomyces tsukubensis,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
3265,Azonexus hydrophilus,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Azonexaceae,Azonexus,
3266,Vibrio sp. JPW-9-11-11,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
3267,Nocardia sp. SYP-A9097,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,
3268,Cryobacterium breve,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Cryobacterium,
3269,Acidobacteriaceae bacterium KBS 146,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,,
3270,Mycolicibacterium insubricum,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,
3271,Methylobacterium indicum,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,
3272,Thermotogota bacterium,Bacteria,Thermotogota,,,,,
3273,Hymenobacter guriensis,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,
3274,Gonapodya prolifera,Eukaryota,Chytridiomycota,Monoblepharidomycetes,Monoblepharidales,Gonapodyaceae,Gonapodya,
3275,Piromyces finnis,Eukaryota,Chytridiomycota,Neocallimastigomycetes,Neocallimastigales,Neocallimastigaceae,Piromyces,
3276,Fibrobacter sp. UWT2,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,
3277,Thermus caldifontis,Bacteria,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,
3278,Gemmatimonas sp.,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,
3279,Sulfitobacter sp. SK012,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sulfitobacter,
3280,Brucella grignonensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,
3281,Streptomyces sp. MnatMP-M17,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
3282,Streptomyces sp. MnatMP-M17,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
3283,Nocardiopsis sp. CNR-923,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,
3284,Agromyces tardus,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Agromyces,
3285,Deinococcus roseus,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,
3286,Fischerella sp. PCC 9605,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Hapalosiphonaceae,Fischerella,
3287,Pseudomonas sp. PDM25,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3288,Pseudomonas sp. PDM25,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3289,Pseudomonas sp. PDM25,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3290,Pseudomonas sp. PDM25,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3291,Pseudomonas sp. PDM25,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3292,Pseudomonas sp. PDM25,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3293,Pseudomonas caricapapayae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3294,Pseudomonas caricapapayae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3295,Pseudomonas caricapapayae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3296,Pseudomonas caricapapayae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3297,Pseudomonas caricapapayae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3298,Pseudomonas caricapapayae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3299,Phyllobacterium sophorae,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Phyllobacterium,
3300,Eubacterium sp. 1001713B170207_170306_E7,Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,
3301,Halomonas stenophila,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,
3302,Arthrobacter sp. B1805,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,
3303,Blastococcus sp. TF02-8,Bacteria,Actinomycetota,Actinomycetes,Geodermatophilales,Geodermatophilaceae,Blastococcus,
3304,Prevotella sp. P3-122,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
3305,Flavobacterium micromati,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
3306,Sphingomonas sp. PAMC 26605,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
3307,Mycolicibacterium arabiense,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,
3308,Alphaproteobacteria bacterium UBA6178,Bacteria,Pseudomonadota,Alphaproteobacteria,,,,
3309,Corynebacterium amycolatum,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,
3310,Malikia granosa,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Malikia,
3311,Modestobacter sp. DSM 44400,Bacteria,Actinomycetota,Actinomycetes,Geodermatophilales,Geodermatophilaceae,Modestobacter,
3312,Pseudomonas sp. QS1027,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3313,Pseudomonas sp. QS1027,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3314,Pseudomonas sp. QS1027,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3315,Pseudomonas sp. QS1027,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3316,Pseudomonas sp. QS1027,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3317,Pseudomonas sp. QS1027,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3318,Allochromatium humboldtianum,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Allochromatium,
3319,Marichromatium gracile,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Marichromatium,
3320,Mariniblastus sp.,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Mariniblastus,
3321,Bacteroides mediterraneensis,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
3322,Armillaria borealis,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,
3323,Leucobacter soli,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Leucobacter,
3324,Sphingomonas sp. PP-CE-3G-477,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
3325,Acholeplasmatales bacterium DTU067,Bacteria,Mycoplasmatota,Mollicutes,Acholeplasmatales,,,
3326,Nitrosomonas sp. Nm51,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,
3327,Nitrosomonas sp. Nm51,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,
3328,Nitrosomonas sp. Nm51,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,
3329,Leifsonia sp. Leaf336,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Leifsonia,
3330,Halorhodospira abdelmalekii,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Halorhodospira,
3331,Bifidobacterium callitrichidarum,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,
3332,Dietzia maris,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Dietziaceae,Dietzia,
3333,Sanguibacter inulinus,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Sanguibacteraceae,Sanguibacter,
3334,Elizabethkingia argenteiflava,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia,
3335,Zhenpiania hominis,Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,Zhenpiania,
3336,Tropicibacter sp. Alg240-R139,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Tropicibacter,
3337,Pseudoalteromonas sp. T1lg75,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,
3338,Methyloprofundus sp.,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methyloprofundus,
3339,Rhizobium deserti,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,
3340,Pseudomonas reinekei,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3341,Pseudomonas reinekei,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3342,Pseudomonas reinekei,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3343,Pseudomonas reinekei,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3344,Pseudomonas reinekei,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3345,Pseudomonas reinekei,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3346,Limihaloglobus sulfuriphilus,Bacteria,Planctomycetota,Phycisphaerae,Sedimentisphaerales,Sedimentisphaeraceae,Limihaloglobus,
3347,Tuber brumale,Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,
3348,Sphingomonas lenta,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
3349,Sphingobium sp. 66-54,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,
3350,Streptomyces spongiicola,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
3351,Streptomyces spongiicola,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
3352,Pseudomonas fragi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3353,Pseudomonas fragi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3354,Pseudomonas fragi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3355,Pseudomonas fragi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3356,Pseudomonas fragi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3357,Pseudomonas fragi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3358,Thalassolituus sp. UBA2009,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Thalassolituus,
3359,Streptomyces vilmorinianum,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
3360,Streptomyces vilmorinianum,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
3361,Cryptococcus wingfieldii,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,
3362,Clostridium jeddahense,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
3363,Pontixanthobacter aquaemixtae,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Pontixanthobacter,
3364,Actinomadura sp. KC216,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinomadura,
3365,Ramlibacter cellulosilyticus,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,
3366,Arthrobacter sp. Leaf69,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,
3367,Rhodothermales bacterium,Bacteria,Rhodothermota,Rhodothermia,Rhodothermales,,,
3368,Maricaulis parjimensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Maricaulales,Maricaulaceae,Maricaulis,
3369,Ralstonia insidiosa,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,
3370,Paucihalobacter ruber,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Paucihalobacter,
3371,Planococcus soli,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,
3372,Bowmanella dokdonensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Bowmanella,
3373,Demequina sp. NBRC 110057,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Demequinaceae,Demequina,
3374,Pseudomonas anguilliseptica,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3375,Pseudomonas anguilliseptica,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3376,Pseudomonas anguilliseptica,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3377,Pseudomonas anguilliseptica,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3378,Pseudomonas anguilliseptica,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3379,Pseudomonas anguilliseptica,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3380,Leeuwenhoekiella palythoae,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,
3381,Rhizobiales bacterium 63-22,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,,,
3382,Micromonospora endophytica,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,
3383,Actinoplanes ovalisporus,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Actinoplanes,
3384,Microbispora sp. H11081,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Microbispora,
3385,Sphingobium jiangsuense,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,
3386,Methylocystis sp. LW5,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Methylocystis,
3387,Streptomyces capillispiralis,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
3388,Streptomyces capillispiralis,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
3389,Streptomyces sp. NRRL S-87,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
3390,Streptomyces sp. NRRL S-87,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,
3391,Herbidospora solisilvae,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Herbidospora,
3392,Caballeronia glebae,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,
3393,Paraburkholderia sp. BCC1885,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,
3394,Amycolatopsis sp. DSM 110486,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,
3395,Synechococcus sp. CC9605,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,
3396,Methylobacterium sp. 77,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,
3397,Paenibacillus sp.,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,
3398,Adlercreutzia sp. ZJ141,Bacteria,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,
3399,Caballeronia grimmiae,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,
3400,Brachybacterium alimentarium,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Dermabacteraceae,Brachybacterium,
3401,Eubacterium sp. 14-2,Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,
3402,Pseudomonas benzenivorans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3403,Pseudomonas benzenivorans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3404,Pseudomonas benzenivorans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3405,Pseudomonas benzenivorans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3406,Pseudomonas benzenivorans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3407,Pseudomonas benzenivorans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
3408,Rarobacter faecitabidus,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Rarobacteraceae,Rarobacter,
3409,Parolsenella catena,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parolsenella,
3410,Nocardia macrotermitis,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,
3411,Pantoea coffeiphila,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,
3412,Moorella humiferrea,Bacteria,Bacillota,Clostridia,Moorellales,Moorellaceae,Moorella,
3413,Herbiconiux sp. SALV-R1,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Herbiconiux,
3414,Pseudomonas humi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
