Row,Speciesofinterest,match_by,GEM_ID,Genomesource,Functional in COMETS
2854,Thauera sedimentorum,No curated GEM at species or genus level,NA,GTDB,No
2855,Halomicronema sp. CCY15110,No curated GEM at species or genus level,NA,GTDB,No
2856,Aeromonas bivalvium,No curated GEM at species or genus level,NA,GTDB,No
2857,Bacillus sp. Xin1,Genus,NA,GTDB,No
2858,Actinomyces procaprae,No curated GEM at species or genus level,NA,GTDB,No
2859,Arthrobacter agilis,Genus,NA,GTDB,No
2860,filamentous cyanobacterium CCP2,No curated GEM at species or genus level,NA,GTDB,No
2861,Nocardioides okcheonensis,No curated GEM at species or genus level,NA,JGI GOLD,No
2862,Pseudonocardia sp. HH130629-09,No curated GEM at species or genus level,NA,GTDB,No
2863,uncultured Caulobacteraceae bacterium,No curated GEM at species or genus level,NA,GTDB,No
2864,Opitutus sp. GAS368,No curated GEM at species or genus level,NA,GTDB,No
2865,Massilia sp. KIM,No curated GEM at species or genus level,NA,GTDB,No
2866,Gemmatimonadales bacterium UBA4456,No curated GEM at species or genus level,NA,GTDB,No
2867,Corynebacterium sp. HMSC27B11,Genus,iCW773,GTDB,No
2868,Renibacterium sp.,No curated GEM at species or genus level,NA,GTDB,No
2869,Pseudomonas oryzicola,Genus,iJN746,GTDB,No
2870,Pseudomonas oryzicola,Genus,riPB890,GTDB,No
2871,Pseudomonas oryzicola,Genus,riJN746,GTDB,No
2872,Pseudomonas oryzicola,Genus,1YdBTEX2,GTDB,No
2873,Pseudomonas oryzicola,Genus,ec_iJN1463,GTDB,No
2874,Pseudomonas oryzicola,Genus,iJN1462,GTDB,No
2875,Butyricicoccus intestinisimiae,No curated GEM at species or genus level,NA,GTDB,No
2876,Nitrosopumilaceae archaeon,No curated GEM at species or genus level,NA,GTDB,No
2877,Mesorhizobium sp. dw_380,No curated GEM at species or genus level,NA,GTDB,No
2878,Candidatus Microthrix sp. UBA814,No curated GEM at species or genus level,NA,GTDB,No
2879,Polymorphobacter glacialis,No curated GEM at species or genus level,NA,GTDB,No
2880,Asticcacaulis sp. AC466,No curated GEM at species or genus level,NA,GTDB,No
2881,Novosphingobium colocasiae,No curated GEM at species or genus level,NA,GTDB,No
2882,Variovorax sp. DXTD-1,Genus,SRS16,GTDB,No
2883,Geobacter sp.,Genus,iAF987,GTDB,No
2884,Croceibacterium atlanticum,No curated GEM at species or genus level,NA,GTDB,No
2885,Pseudomonas sp. WN033,Genus,iJN746,JGI GOLD,No
2886,Pseudomonas sp. WN033,Genus,riPB890,JGI GOLD,No
2887,Pseudomonas sp. WN033,Genus,riJN746,JGI GOLD,No
2888,Pseudomonas sp. WN033,Genus,1YdBTEX2,JGI GOLD,No
2889,Pseudomonas sp. WN033,Genus,ec_iJN1463,JGI GOLD,No
2890,Pseudomonas sp. WN033,Genus,iJN1462,JGI GOLD,No
2891,bacterium 1XD42-1,No curated GEM at species or genus level,NA,GTDB,No
2892,Bacilli bacterium,No curated GEM at species or genus level,NA,GTDB,No
2893,Flavobacteriales bacterium UBA1986,No curated GEM at species or genus level,NA,GTDB,No
2894,Streptomyces sp. NRRL F-5123,Genus,salb,GTDB,No
2895,Streptomyces sp. NRRL F-5123,Genus,sco,GTDB,No
2896,Slackia equolifaciens,No curated GEM at species or genus level,NA,GTDB,No
2897,Bdellovibrionaceae bacterium UBA6502,No curated GEM at species or genus level,NA,GTDB,No
2898,Rhizobium pisi,Genus,iOR450,GTDB,No
2899,Oscillibacter sp. 1-3,No curated GEM at species or genus level,NA,GTDB,No
2900,Thermus caliditerrae,No curated GEM at species or genus level,NA,GTDB,No
2901,Clostridiales bacterium Firm_16,No curated GEM at species or genus level,NA,GTDB,No
2902,Dietzia psychralcaliphila,No curated GEM at species or genus level,NA,GTDB,No
2903,Sphingobacteriaceae bacterium UBA2059,No curated GEM at species or genus level,NA,GTDB,No
2904,Streptomyces hainanensis,Genus,salb,GTDB,No
2905,Streptomyces hainanensis,Genus,sco,GTDB,No
2906,Halomicroarcula marina,No curated GEM at species or genus level,NA,JGI GOLD,No
2907,Sphingomonas sp. 35-24ZXX,No curated GEM at species or genus level,NA,GTDB,No
2908,Copromyces sp. CBS 386.78,No curated GEM at species or genus level,NA,Mycocosm,No
2909,Tabrizicola aquatica,No curated GEM at species or genus level,NA,GTDB,No
2910,Lactarius hengduanensis,No curated GEM at species or genus level,NA,Mycocosm,No
2911,Paenibacillus sp. SSG-1,No curated GEM at species or genus level,NA,JGI GOLD,No
2912,Chelatococcus sp. YT9,No curated GEM at species or genus level,NA,GTDB,No
2913,Luteipulveratus mongoliensis,No curated GEM at species or genus level,NA,GTDB,No
2914,Paraburkholderia rhynchosiae,No curated GEM at species or genus level,NA,GTDB,No
2915,Solimonas aquatica,No curated GEM at species or genus level,NA,GTDB,No
2916,Rubrivivax sp. SCN 71-131,No curated GEM at species or genus level,NA,GTDB,No
2917,Caulobacteraceae bacterium PMMR1,No curated GEM at species or genus level,NA,GTDB,No
2918,Streptomyces sp. BA2,Genus,salb,GTDB,No
2919,Streptomyces sp. BA2,Genus,sco,GTDB,No
2920,Phaeobacter sp. 11ANDIMAR09,No curated GEM at species or genus level,NA,GTDB,No
2921,Coriobacteriales bacterium,No curated GEM at species or genus level,NA,GTDB,No
2922,Arthrobacter sp. M2012083,Genus,NA,GTDB,No
2923,Hymenobacter jeongseonensis,No curated GEM at species or genus level,NA,GTDB,No
2924,Streptomyces sp. ms115,Genus,salb,JGI GOLD,No
2925,Streptomyces sp. ms115,Genus,sco,JGI GOLD,No
2926,Mesorhizobium sp. B2-4-9,No curated GEM at species or genus level,NA,JGI GOLD,No
2927,Parvibium lacunae,No curated GEM at species or genus level,NA,GTDB,No
2928,Pseudomonas veronii,Species,1YdBTEX2,GTDB,No
2929,Arthrobacter sp. SX1312,Genus,NA,GTDB,No
2930,Halodesulfurarchaeum formicicum,No curated GEM at species or genus level,NA,GTDB,No
2931,Cytobacillus eiseniae,No curated GEM at species or genus level,NA,GTDB,No
2932,Endogone sp.,No curated GEM at species or genus level,NA,Mycocosm,No
2933,Actinoplanes durhamensis,No curated GEM at species or genus level,NA,GTDB,No
2934,Legionella impletisoli,No curated GEM at species or genus level,NA,GTDB,No
2935,Leptospira ilyithenensis,No curated GEM at species or genus level,NA,GTDB,No
2936,Fibrobacter sp. UBA7003,No curated GEM at species or genus level,NA,GTDB,No
2937,Salinivirgaceae bacterium,No curated GEM at species or genus level,NA,GTDB,No
2938,Pseudoclostridium thermosuccinogenes,No curated GEM at species or genus level,NA,GTDB,No
2939,Limimaricola pyoseonensis,No curated GEM at species or genus level,NA,GTDB,No
2940,Herminiimonas sp. KBW02,No curated GEM at species or genus level,NA,GTDB,No
2941,[Torrubiella] hemipterigena,No curated GEM at species or genus level,NA,Mycocosm,No
2942,Cryobacterium algoricola,No curated GEM at species or genus level,NA,GTDB,No
2943,Pseudotabrizicola algicola,No curated GEM at species or genus level,NA,GTDB,No
2944,Nostoc sp. JL34,No curated GEM at species or genus level,NA,GTDB,No
2945,Komagataeibacter sp. FXV3,No curated GEM at species or genus level,NA,GTDB,No
2946,Sulfitobacter geojensis,No curated GEM at species or genus level,NA,GTDB,No
2947,Chryseobacterium sp. VAUSW3,No curated GEM at species or genus level,NA,GTDB,No
2948,Domibacillus enclensis,No curated GEM at species or genus level,NA,GTDB,No
2949,Pseudomonas sp. Irchel 3E13,Genus,iJN746,GTDB,No
2950,Pseudomonas sp. Irchel 3E13,Genus,riPB890,GTDB,No
2951,Pseudomonas sp. Irchel 3E13,Genus,riJN746,GTDB,No
2952,Pseudomonas sp. Irchel 3E13,Genus,1YdBTEX2,GTDB,No
2953,Pseudomonas sp. Irchel 3E13,Genus,ec_iJN1463,GTDB,No
2954,Pseudomonas sp. Irchel 3E13,Genus,iJN1462,GTDB,No
2955,Aminivibrio pyruvatiphilus,No curated GEM at species or genus level,NA,GTDB,No
2956,Paenibacillus nasutitermitis,No curated GEM at species or genus level,NA,GTDB,No
2957,Asaia siamensis,No curated GEM at species or genus level,NA,GTDB,No
2958,Methylococcus capsulatus,No curated GEM at species or genus level,NA,JGI GOLD,No
2959,Duganella flavida,No curated GEM at species or genus level,NA,GTDB,No
2960,Mesorhizobium wenxiniae,No curated GEM at species or genus level,NA,GTDB,No
2961,Flavobacterium oreochromis,No curated GEM at species or genus level,NA,GTDB,No
2962,Methyloceanibacter sp. wino2,No curated GEM at species or genus level,NA,GTDB,No
2963,Pirellula sp.,No curated GEM at species or genus level,NA,GTDB,No
2964,Hypoxylon argillaceum,No curated GEM at species or genus level,NA,Mycocosm,No
2965,Cryobacterium sp. M96,No curated GEM at species or genus level,NA,GTDB,No
2966,Paenibacillus arenosi,No curated GEM at species or genus level,NA,GTDB,No
2967,Spirochaetales bacterium,No curated GEM at species or genus level,NA,GTDB,No
2968,Slackia isoflavoniconvertens,No curated GEM at species or genus level,NA,GTDB,No
2969,uncultured Curvibacter sp.,No curated GEM at species or genus level,NA,GTDB,No
2970,Paenibacillus algorifonticola,No curated GEM at species or genus level,NA,GTDB,No
2971,Rubrobacter xylanophilus,No curated GEM at species or genus level,NA,GTDB,No
2972,Streptomyces termitum,Genus,salb,GTDB,No
2973,Streptomyces termitum,Genus,sco,GTDB,No
2974,Achromobacter sp. MFA1 R4,No curated GEM at species or genus level,NA,GTDB,No
2975,Collimonas fungivorans,No curated GEM at species or genus level,NA,GTDB,No
2976,Fusobacterium ulcerans,No curated GEM at species or genus level,NA,GTDB,No
2977,Hydrogenophaga sp. PBL-H3,No curated GEM at species or genus level,NA,GTDB,No
2978,Rhodobacterales bacterium HKCCSP123,No curated GEM at species or genus level,NA,GTDB,No
2979,uncultured Bdellovibrionales bacterium,No curated GEM at species or genus level,NA,GTDB,No
2980,Acutalibacter sp. 1XD8-33,No curated GEM at species or genus level,NA,GTDB,No
2981,Phaeobacter sp. CECT 5382,No curated GEM at species or genus level,NA,GTDB,No
2982,Thermocatellispora tengchongensis,No curated GEM at species or genus level,NA,GTDB,No
2983,Actinoplanes liguriensis,No curated GEM at species or genus level,NA,JGI GOLD,No
2984,Aeromonas fluvialis,No curated GEM at species or genus level,NA,GTDB,No
2985,Aggregatimonas sangjinii,No curated GEM at species or genus level,NA,GTDB,No
2986,Cyanobacteria bacterium SBLK,No curated GEM at species or genus level,NA,GTDB,No
2987,Halalkalibacter krulwichiae,No curated GEM at species or genus level,NA,GTDB,No
2988,Streptomyces abyssomicinicus,Genus,salb,GTDB,No
2989,Streptomyces abyssomicinicus,Genus,sco,GTDB,No
2990,Burkholderia sp. BCC1644,Genus,iKF1028,GTDB,No
2991,Enterobacteriaceae bacterium UBA2655,No curated GEM at species or genus level,NA,GTDB,No
2992,Streptomyces luteogriseus,Genus,salb,GTDB,No
2993,Streptomyces luteogriseus,Genus,sco,GTDB,No
2994,Rhodococcus sp. ANT_H53B,Genus,iMT1174,JGI GOLD,No
2995,Desulfuromonadales bacterium,No curated GEM at species or genus level,NA,GTDB,No
2996,Roseitranquillus sediminis,No curated GEM at species or genus level,NA,GTDB,No
2997,Mesobacillus zeae,No curated GEM at species or genus level,NA,GTDB,No
2998,Methanolinea sp. UBA277,No curated GEM at species or genus level,NA,GTDB,No
2999,Streptomyces albus,Genus,salb,JGI GOLD,No
3000,Streptomyces albus,Genus,sco,JGI GOLD,No
3001,Aspergillus nidulans,Genus,iJL1454,Mycocosm,No
3002,Paenibacillus eucommiae,No curated GEM at species or genus level,NA,GTDB,No
3003,Microvirga thermotolerans,No curated GEM at species or genus level,NA,GTDB,No
3004,Pseudidiomarina indica,No curated GEM at species or genus level,NA,GTDB,No
3005,Pseudomonas sp. PA15(2017),Genus,iJN746,GTDB,No
3006,Pseudomonas sp. PA15(2017),Genus,riPB890,GTDB,No
3007,Pseudomonas sp. PA15(2017),Genus,riJN746,GTDB,No
3008,Pseudomonas sp. PA15(2017),Genus,1YdBTEX2,GTDB,No
3009,Pseudomonas sp. PA15(2017),Genus,ec_iJN1463,GTDB,No
3010,Pseudomonas sp. PA15(2017),Genus,iJN1462,GTDB,No
3011,Merdimonas faecis,No curated GEM at species or genus level,NA,GTDB,No
3012,Bosea sp. UNC402CLCol,No curated GEM at species or genus level,NA,GTDB,No
3013,Holophagaceae bacterium,No curated GEM at species or genus level,NA,GTDB,No
3014,Naasia sp. SYSU D00948,No curated GEM at species or genus level,NA,GTDB,No
3015,Chitinophaga jiangningensis,No curated GEM at species or genus level,NA,GTDB,No
3016,Halomonas gudaonensis,Genus,NA,GTDB,No
3017,Paenibacillus guangzhouensis,No curated GEM at species or genus level,NA,GTDB,No
3018,Pseudonocardia eucalypti,No curated GEM at species or genus level,NA,GTDB,No
3019,Rhodococcus spelaei,Genus,iMT1174,GTDB,No
3020,Rhodobacterales bacterium HKCCE4037,No curated GEM at species or genus level,NA,GTDB,No
3021,Maribellus comscasis,No curated GEM at species or genus level,NA,GTDB,No
3022,Phialophora attinorum,No curated GEM at species or genus level,NA,Mycocosm,No
3023,Paracoccus onubensis,No curated GEM at species or genus level,NA,GTDB,No
3024,Algoriphagus oliviformis,No curated GEM at species or genus level,NA,GTDB,No
3025,Serratia sp. FDAARGOS_506,No curated GEM at species or genus level,NA,GTDB,No
3026,Azospirillum picis,No curated GEM at species or genus level,NA,GTDB,No
3027,Burkholderia pseudomallei,Genus,iKF1028,JGI GOLD,No
3028,Roseimaritima ulvae,No curated GEM at species or genus level,NA,GTDB,No
3029,Hoeflea sp. EC-HK425,No curated GEM at species or genus level,NA,GTDB,No
3030,Streptomyces sp. HB132,Genus,salb,GTDB,No
3031,Streptomyces sp. HB132,Genus,sco,GTDB,No
3032,Streptomyces sp. IGB124,Genus,salb,JGI GOLD,No
3033,Streptomyces sp. IGB124,Genus,sco,JGI GOLD,No
3034,Pedobacter miscanthi,No curated GEM at species or genus level,NA,GTDB,No
3035,Pedobacter frigidisoli,No curated GEM at species or genus level,NA,GTDB,No
3036,Schaalia radingae,No curated GEM at species or genus level,NA,GTDB,No
3037,Sphingomonadales bacterium UBA2369,No curated GEM at species or genus level,NA,GTDB,No
3038,Verrucomicrobium sp.,No curated GEM at species or genus level,NA,GTDB,No
3039,Marinilabiliaceae bacterium,No curated GEM at species or genus level,NA,GTDB,No
3040,Limnobaculum parvum,No curated GEM at species or genus level,NA,GTDB,No
3041,Christiangramia bathymodioli,No curated GEM at species or genus level,NA,GTDB,No
3042,Betaproteobacteria bacterium UBA5216,No curated GEM at species or genus level,NA,GTDB,No
3043,Demequina globuliformis,No curated GEM at species or genus level,NA,GTDB,No
3044,Novosphingobium indicum,No curated GEM at species or genus level,NA,GTDB,No
3045,Nostoc sp. PCC 7524,No curated GEM at species or genus level,NA,GTDB,No
3046,Saccharospirillum mangrovi,No curated GEM at species or genus level,NA,GTDB,No
3047,Nitrospirae bacterium CG2_30_70_394,No curated GEM at species or genus level,NA,GTDB,No
3048,Qipengyuania aquimaris,No curated GEM at species or genus level,NA,GTDB,No
3049,Streptomyces sp. KMM 9044,Genus,salb,JGI GOLD,No
3050,Streptomyces sp. KMM 9044,Genus,sco,JGI GOLD,No
3051,uncultured Rhodospirillaceae bacterium,No curated GEM at species or genus level,NA,GTDB,No
3052,Magnetospirillum sp. ME-1,No curated GEM at species or genus level,NA,GTDB,No
3053,Candidatus Anaerobiospirillum stercoravium,No curated GEM at species or genus level,NA,GTDB,No
3054,Salinibacterium sp. NG253,No curated GEM at species or genus level,NA,GTDB,No
3055,alpha proteobacterium IMCC14465,No curated GEM at species or genus level,NA,GTDB,No
3056,Actinopolyspora saharensis,No curated GEM at species or genus level,NA,GTDB,No
3057,Meiothermus luteus,No curated GEM at species or genus level,NA,GTDB,No
3058,Streptomyces coryli,Genus,salb,GTDB,No
3059,Streptomyces coryli,Genus,sco,GTDB,No
3060,Kordiimonas sediminis,No curated GEM at species or genus level,NA,GTDB,No
3061,Streptomyces diacarni,Genus,salb,GTDB,No
3062,Streptomyces diacarni,Genus,sco,GTDB,No
3063,Prevotella sp.,No curated GEM at species or genus level,NA,GTDB,No
3064,Jimgerdemannia flammicorona,No curated GEM at species or genus level,NA,Mycocosm,No
3065,Hyphomicrobiaceae bacterium,No curated GEM at species or genus level,NA,SMAG,No
3066,Chryseobacterium edaphi,No curated GEM at species or genus level,NA,JGI GOLD,No
3067,Ancylomarina subtilis,No curated GEM at species or genus level,NA,GTDB,No
3068,Altererythrobacter sp. ZODW24,No curated GEM at species or genus level,NA,GTDB,No
3069,Acetobacter sp. 46_36,No curated GEM at species or genus level,NA,GTDB,No
3070,uncultured archaeon A07HR67,No curated GEM at species or genus level,NA,GTDB,No
3071,Pseudidiomarina homiensis,No curated GEM at species or genus level,NA,GTDB,No
3072,Pedobacter soli,No curated GEM at species or genus level,NA,GTDB,No
3073,Rufibacter sp. LB8,No curated GEM at species or genus level,NA,GTDB,No
3074,Rhodanobacter sp. 7MK24,No curated GEM at species or genus level,NA,GTDB,No
3075,Acidicapsa dinghuensis,No curated GEM at species or genus level,NA,JGI GOLD,No
3076,Desulfovibrio sp. MES5,No curated GEM at species or genus level,NA,GTDB,No
3077,Asticcacaulis tiandongensis,No curated GEM at species or genus level,NA,GTDB,No
3078,Actinomyces viscosus,No curated GEM at species or genus level,NA,GTDB,No
3079,Streptomyces sp. NRRL B-24484,Genus,salb,GTDB,No
3080,Streptomyces sp. NRRL B-24484,Genus,sco,GTDB,No
3081,Wenzhouxiangella sp. AB-CW3,No curated GEM at species or genus level,NA,GTDB,No
3082,Flexivirga endophytica,No curated GEM at species or genus level,NA,GTDB,No
3083,Oscillatoriales cyanobacterium CG2_30_40_61,No curated GEM at species or genus level,NA,GTDB,No
3084,Endomicrobiia bacterium,No curated GEM at species or genus level,NA,GTDB,No
3085,Boseongicola sp.,No curated GEM at species or genus level,NA,GTDB,No
3086,Herbidospora yilanensis,No curated GEM at species or genus level,NA,GTDB,No
3087,Paracoccus sp. AK26,No curated GEM at species or genus level,NA,JGI GOLD,No
3088,Iodobacter sp. BJB302,No curated GEM at species or genus level,NA,GTDB,No
3089,Rhizobium binae,Genus,iOR450,GTDB,No
3090,Paludibacter sp. 47-17,No curated GEM at species or genus level,NA,GTDB,No
3091,Brachybacterium sp. EE-P12,No curated GEM at species or genus level,NA,GTDB,No
3092,Nucisporomicrobium flavum,No curated GEM at species or genus level,NA,GTDB,No
3093,Paenibacillus ferrarius,No curated GEM at species or genus level,NA,GTDB,No
3094,Cupriavidus malaysiensis,No curated GEM at species or genus level,NA,GTDB,No
3095,Chryseobacterium sp. G0201,No curated GEM at species or genus level,NA,GTDB,No
3096,Methylobacterium sp. 2A,No curated GEM at species or genus level,NA,GTDB,No
3097,Thermomonospora echinospora,No curated GEM at species or genus level,NA,GTDB,No
3098,Brevibacillus antibioticus,No curated GEM at species or genus level,NA,GTDB,No
3099,Stakelama marina,No curated GEM at species or genus level,NA,GTDB,No
3100,Legionella sp. PC1000,No curated GEM at species or genus level,NA,GTDB,No
3101,Bdellovibrio sp. CG22_combo_CG10-13_8_21_14_all_39_27,No curated GEM at species or genus level,NA,GTDB,No
3102,Micromonospora globispora,No curated GEM at species or genus level,NA,JGI GOLD,No
3103,uncultured Methylibium sp.,No curated GEM at species or genus level,NA,GTDB,No
3104,Corynebacterium flavescens,Genus,iCW773,GTDB,No
3105,Gordonia sp. IITR100,No curated GEM at species or genus level,NA,JGI GOLD,No
3106,Thiomicrospira sp.,No curated GEM at species or genus level,NA,SMAG,No
3107,Bifidobacterium crudilactis,No curated GEM at species or genus level,NA,GTDB,No
3108,Acidobacterium sp.,No curated GEM at species or genus level,NA,GTDB,No
3109,Lactobacillus sp. HBUAS51381,No curated GEM at species or genus level,NA,GTDB,No
3110,Microbacterium sp. CSI-V,No curated GEM at species or genus level,NA,GTDB,No
3111,Caenimonas sedimenti,No curated GEM at species or genus level,NA,GTDB,No
3112,marine group bacterium Sva0996 bin134,No curated GEM at species or genus level,NA,GTDB,No
3113,Deinococcus sp. YIM 77859,No curated GEM at species or genus level,NA,GTDB,No
3114,Nocardioides sp. S-1144,No curated GEM at species or genus level,NA,GTDB,No
3115,Halomonas halophila,Genus,NA,GTDB,No
3116,Paratractidigestivibacter faecalis,No curated GEM at species or genus level,NA,GTDB,No
3117,Mycolicibacterium austroafricanum,No curated GEM at species or genus level,NA,GTDB,No
3118,Candidatus Faecousia excrementipullorum,No curated GEM at species or genus level,NA,GTDB,No
3119,Xanthomonas vasicola,No curated GEM at species or genus level,NA,GTDB,No
3120,Microtetraspora fusca,No curated GEM at species or genus level,NA,GTDB,No
3121,Aspergillus neoniger,Genus,iJL1454,Mycocosm,No
3122,Methylobacterium sp. DB0501,No curated GEM at species or genus level,NA,GTDB,No
3123,Arthrobacter sp. PAMC 25486,Genus,NA,GTDB,No
3124,Brevibacterium senegalense,No curated GEM at species or genus level,NA,GTDB,No
3125,Cytobacillus oceanisediminis,No curated GEM at species or genus level,NA,GTDB,No
3126,Elusimicrobia bacterium HGW-Elusimicrobia-1,No curated GEM at species or genus level,NA,GTDB,No
3127,Mesorhizobium sp. SARCC-RB16n,No curated GEM at species or genus level,NA,GTDB,No
3128,Amycolatopsis tolypomycina,No curated GEM at species or genus level,NA,GTDB,No
3129,Chryseobacterium indoltheticum,No curated GEM at species or genus level,NA,SMAG,No
3130,Desulfovibrio psychrotolerans,No curated GEM at species or genus level,NA,GTDB,No
3131,Sphingobacterium sp. ML3W,No curated GEM at species or genus level,NA,GTDB,No
3132,Massilia sp. LPB0304,No curated GEM at species or genus level,NA,GTDB,No
3133,Halorientalis sp. IM1011,No curated GEM at species or genus level,NA,GTDB,No
3134,Crassisporium funariophilum,No curated GEM at species or genus level,NA,Mycocosm,No
3135,Paenibacillus sp. JNUCC-31,No curated GEM at species or genus level,NA,GTDB,No
3136,Coprococcus catus,No curated GEM at species or genus level,NA,GTDB,No
3137,Sphingobacterium olei,No curated GEM at species or genus level,NA,GTDB,No
3138,Bacillus wudalianchiensis,Genus,NA,GTDB,No
3139,Hyphomonas beringensis,No curated GEM at species or genus level,NA,GTDB,No
3140,Streptomyces avicenniae,Genus,salb,GTDB,No
3141,Streptomyces avicenniae,Genus,sco,GTDB,No
3142,Streptomyces fulvorobeus,Genus,salb,GTDB,No
3143,Streptomyces fulvorobeus,Genus,sco,GTDB,No
3144,Deltaproteobacteria bacterium HGW-Deltaproteobacteria-19,No curated GEM at species or genus level,NA,GTDB,No
3145,Taibaiella sp. KBW10,No curated GEM at species or genus level,NA,GTDB,No
3146,Cupriavidus plantarum,No curated GEM at species or genus level,NA,GTDB,No
3147,Thiohalophilus thiocyanatoxydans,No curated GEM at species or genus level,NA,GTDB,No
3148,Bdellovibrio sp. NC01,No curated GEM at species or genus level,NA,GTDB,No
3149,Limnobacter alexandrii,No curated GEM at species or genus level,NA,GTDB,No
3150,Bacteroidetes bacterium UKL13-3,No curated GEM at species or genus level,NA,GTDB,No
3151,Hymenobacter sp. DG25B,No curated GEM at species or genus level,NA,GTDB,No
3152,Mycolicibacillus koreensis,No curated GEM at species or genus level,NA,GTDB,No
3153,Sulfitobacter sp. HGT1,No curated GEM at species or genus level,NA,GTDB,No
3154,Salipaludibacillus agaradhaerens,No curated GEM at species or genus level,NA,GTDB,No
3155,Pseudomonas sp. SWRI51,Genus,iJN746,GTDB,No
3156,Pseudomonas sp. SWRI51,Genus,riPB890,GTDB,No
3157,Pseudomonas sp. SWRI51,Genus,riJN746,GTDB,No
3158,Pseudomonas sp. SWRI51,Genus,1YdBTEX2,GTDB,No
3159,Pseudomonas sp. SWRI51,Genus,ec_iJN1463,GTDB,No
3160,Pseudomonas sp. SWRI51,Genus,iJN1462,GTDB,No
3161,Candidatus Aveggerthella excrementigallinarum,No curated GEM at species or genus level,NA,GTDB,No
3162,Ideonella paludis,No curated GEM at species or genus level,NA,GTDB,No
3163,Lysobacter silvisoli,No curated GEM at species or genus level,NA,GTDB,No
3164,Lobosporangium transversale,No curated GEM at species or genus level,NA,Mycocosm,No
3165,Humibacter ginsenosidimutans,No curated GEM at species or genus level,NA,GTDB,No
3166,Arthrobacter sp. B6,Genus,NA,GTDB,No
3167,Enterobacter sp. Bisph1,No curated GEM at species or genus level,NA,GTDB,No
3168,Pseudomonas sp. SWRI 103,Genus,iJN746,GTDB,No
3169,Pseudomonas sp. SWRI 103,Genus,riPB890,GTDB,No
3170,Pseudomonas sp. SWRI 103,Genus,riJN746,GTDB,No
3171,Pseudomonas sp. SWRI 103,Genus,1YdBTEX2,GTDB,No
3172,Pseudomonas sp. SWRI 103,Genus,ec_iJN1463,GTDB,No
3173,Pseudomonas sp. SWRI 103,Genus,iJN1462,GTDB,No
3174,Anaerocolumna sedimenticola,No curated GEM at species or genus level,NA,GTDB,No
3175,Sphingomonas gellani,No curated GEM at species or genus level,NA,GTDB,No
3176,Rufibacter hautae,No curated GEM at species or genus level,NA,GTDB,No
3177,Albitalea terrae,No curated GEM at species or genus level,NA,GTDB,No
3178,Glycomyces tritici,No curated GEM at species or genus level,NA,JGI GOLD,No
3179,Rhodoplanes sp.,No curated GEM at species or genus level,NA,GTDB,No
3180,Promicromonospora panici,No curated GEM at species or genus level,NA,GTDB,No
3181,Marinobacter sp. AC-23,No curated GEM at species or genus level,NA,GTDB,No
3182,Desulfovibrio ferrophilus,No curated GEM at species or genus level,NA,GTDB,No
3183,Hymenobacter crusticola,No curated GEM at species or genus level,NA,GTDB,No
3184,Paenibacillus sp. CAA11,No curated GEM at species or genus level,NA,GTDB,No
3185,Jejuia pallidilutea,No curated GEM at species or genus level,NA,GTDB,No
3186,Taibaiella sp.,No curated GEM at species or genus level,NA,SMAG,No
3187,Dehalogenimonas alkenigignens,No curated GEM at species or genus level,NA,GTDB,No
3188,uncultured Planctomycetia bacterium,No curated GEM at species or genus level,NA,GTDB,No
3189,Spartobacteria bacterium UBA5019,No curated GEM at species or genus level,NA,GTDB,No
3190,Streptomyces sp. MMG1533,Genus,salb,GTDB,No
3191,Streptomyces sp. MMG1533,Genus,sco,GTDB,No
3192,Hydnum rufescens,No curated GEM at species or genus level,NA,Mycocosm,No
3193,Nostoc sp. UIC 10630,No curated GEM at species or genus level,NA,JGI GOLD,No
3194,Gramella sp. MAR_2010_147,No curated GEM at species or genus level,NA,GTDB,No
3195,Ensifer sp. BR816,No curated GEM at species or genus level,NA,GTDB,No
3196,Aestuariirhabdus litorea,No curated GEM at species or genus level,NA,GTDB,No
3197,Tilletia walkeri,No curated GEM at species or genus level,NA,Mycocosm,No
3198,gamma proteobacterium endosymbiont of Lamellibrachia anaximandri,No curated GEM at species or genus level,NA,GTDB,No
3199,Neonectria ditissima,No curated GEM at species or genus level,NA,Mycocosm,No
3200,Streptomyces sp. Tu 2975,Genus,salb,GTDB,No
3201,Streptomyces sp. Tu 2975,Genus,sco,GTDB,No
3202,Bhargavaea beijingensis,No curated GEM at species or genus level,NA,GTDB,No
3203,Legionella parisiensis,No curated GEM at species or genus level,NA,GTDB,No
3204,Desulfamplus sp.,No curated GEM at species or genus level,NA,GTDB,No
3205,Streptomyces sp. ok210,Genus,salb,GTDB,No
3206,Streptomyces sp. ok210,Genus,sco,GTDB,No
3207,Microbacterium sp. Root180,No curated GEM at species or genus level,NA,GTDB,No
3208,Thermogutta terrifontis,No curated GEM at species or genus level,NA,GTDB,No
3209,Brevibacterium sp. CS2,No curated GEM at species or genus level,NA,GTDB,No
3210,Caulobacter sp.,No curated GEM at species or genus level,NA,GTDB,No
3211,Salinirubrum litoreum,No curated GEM at species or genus level,NA,JGI GOLD,No
3212,Prolixibacteraceae bacterium UBA1413,No curated GEM at species or genus level,NA,GTDB,No
3213,Corynebacterium glucuronolyticum,Genus,iCW773,GTDB,No
3214,Paenibacillus kribbensis,No curated GEM at species or genus level,NA,GTDB,No
