Additional File 3-1. Unique reactions involved in the in silico model of Rhodococcus jostii RHA1,,,,,,,,,,,
Name,ID,Definition,Equation,Directionality,Lower Bound,Upper Bound,EC No,ORF,Replaced Reaction,Reference,Note
(3R)-3-isopropenyl-6-oxoheptanoate:CoA ligase (ADP-forming),R06396,(3R)-3-Isopropenyl-6-oxoheptanoate + CoA + ATP <=> (3R)-3-Isopropenyl-6-oxoheptanoyl-CoA + H2O + ADP + Orthophosphate,C11405 + C00010 + C00002 <=> C11407 + C00001 + C00008 + C00009,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"(+)-limonene,NADH:oxygen oxidoreductase",R06398,"(+)-Limonene + NADH + Oxygen <=> Limonene-1,2-epoxide + NAD+ + HO-",C06099 + C00004 + C00007 <=> C07271 + C00003 + C01328,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"(1S,4R)-1-hydroxy-2-oxolimonene, NADPH:oxygen oxidoreductase",R06400,"(1S,4R)-1-Hydroxy-2-oxolimonene + NADPH + Oxygen <=> (3R)-3-Isopropenyl-6-oxoheptanoate + NADP+ + HO-",C11937 + C00005 + C00007 <=> C11405 + C00006 + C01328,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
Pinocarveol dehydrogenase,R06405,Pinocarveol <=> Pinocarvone + H+,C11941 <=> C09884 + C00080,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
alpha-Pinene monooxygenase,R06406,alpha-Pinene + NADH + H+ + Oxygen <=> alpha-Pinene-oxide + NAD+ + H2O,C09880 + C00004 + C00080 + C00007 <=> C02759 + C00003 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"cis-2-Methyl-5-isopropylhexa-2,5-dienal dehydrogenase",R06407,"(Z)-2-Methyl-5-isopropylhexa-2,5-dienal + NAD+ + H2O <=> cis-2-Methyl-5-isopropylhexa-2,5-dienoic acid + NADH + H+",C04435 + C00003 + C00001 <=> C11944 + C00004 + C00080,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"cis-2-Methyl-5-isopropylhexa-2,5-dienoate-CoA ligase",R06409,"cis-2-Methyl-5-isopropylhexa-2,5-dienoic acid + ATP + CoA <=> cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA + AMP + Diphosphate",C11944 + C00002 + C00010 <=> C11946 + C00020 + C00013,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"trans-2-Methyl-5-isopropylhexa-2,5-dienoate-CoA ligase",R06410,"trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid + ATP + CoA <=> trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA + AMP + Diphosphate",C11943 + C00002 + C00010 <=> C11945 + C00020 + C00013,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA hydro-lyase",R06411,"cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA + H2O <=> 3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA",C11946 + C00001 <=> C11947,1,-Inf,Inf,ec:4.2.1.17,"ro00085, ro00401, ro01505, ro01538, ro01540, ro01928, ro01936, ro02286, ro02289, ro02308, ro02669, ro02688, ro02697, ro02707, ro02860, ro02862, ro03070, ro03243, ro03948, ro03957, ro04094, ro04205, ro04249, ro04252, ro04398, ro04594, ro04652, ro04688, ro05033, ro05401, ro06025, ro06118, ro06453, ro06513, ro06681, ro06695, ro07067, ro07071, ro07072, ro08039, ro08049, ro08144, ro08870, ro08944, ro09031, ro10312, ro10316, ro10319, ro10427, ro11182",,"(Kanehisa, Goto et al. 2004)",
"trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA hydro-lyase",R06412,"trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA + H2O <=> 3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA",C11945 + C00001 <=> C11947,1,-Inf,Inf,ec:4.2.1.17,"ro00085, ro00401, ro01505, ro01538, ro01540, ro01928, ro01936, ro02286, ro02289, ro02308, ro02669, ro02688, ro02697, ro02707, ro02860, ro02862, ro03070, ro03243, ro03948, ro03957, ro04094, ro04205, ro04249, ro04252, ro04398, ro04594, ro04652, ro04688, ro05033, ro05401, ro06025, ro06118, ro06453, ro06513, ro06681, ro06695, ro07067, ro07071, ro07072, ro08039, ro08049, ro08144, ro08870, ro08944, ro09031, ro10312, ro10316, ro10319, ro10427, ro11182",,"(Kanehisa, Goto et al. 2004)",
"3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA dehydrogenase",R06413,"3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA + NAD+ <=> 2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA + NADH + H+",C11947 + C00003 <=> C11948 + C00004 + C00080,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA C-acetyltransferase",R06414,"2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA + CoA <=> 3-Isopropylbut-3-enoyl-CoA + Propanoyl-CoA",C11948 + C00010 <=> C11949 + C00100,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
3-Isopropylbut-3-enoyl-CoA thioesterase,R06415,3-Isopropylbut-3-enoyl-CoA + H2O <=> 3-Isopropylbut-3-enoic acid + CoA,C11949 + C00001 <=> C11950 + C00010,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming),R00025,Oxygen + 2 2-Nitropropane <=> 2 Acetone + 2 Nitrite,C00007 + 2 C02116 <=> 2 C00207 + 2 C00088,1,0,Inf,ec:1.13.12.16,"ro00808, ro00812, ro04649, ro04690, ro06117, ro08143",,"(Kanehisa, Goto et al. 2004)",
glycine synthase; glycine cleavage system,R01221,"Glycine + Tetrahydrofolate + NAD+ <=> 5,10-Methylenetetrahydrofolate + NH3 + CO2 + NADH + H+",C00037 + C00101 + C00003 <=> C00143 + C00014 + C00011 + C00004 + C00080,1,0,Inf,ec:1.4.4.2,"ro00902, ro02930, ro08466, ro08467",,"(Kanehisa, Goto et al. 2004)",
,,,,,,,ec:1.8.1.4,"ro02140, ro02927, ro03318, ro03377, ro05562, ro06262, ro11024",,,
,,,,,,,ec:2.1.2.10,"ro01148, ro02931",,,
Sulfite:oxygen oxidoreductase,R00533,Sulfite + Oxygen + H2O <=> Sulfate + H2O2,C00094 + C00007 + C00001 <=> C00059 + C00027,1,0,Inf,ec:1.8.3.1,ro01563,,"(Kanehisa, Goto et al. 2004)",
hydrogen-sulfide:NADP+ oxidoreductase,R00858,Hydrogen sulfide + 3 NADP+ + 3 H2O <=> Sulfite + 3 NADPH + 3 H+,C00283 + 3 C00006 + 3 C00001 <=> C00094 + 3 C00005 + 3 C00080,-1,0,Inf,ec:1.8.1.2,ro01797,,"(Kanehisa, Goto et al. 2004)",
"adenosine 3',5'-bisphosphate,sulfite:oxidized-thioredoxin oxidoreductase (3'-phosphoadenosine-5'-phosphosulfate -forming)",R02021,"Thioredoxin + 3'-Phosphoadenylyl sulfate <=> Thioredoxin disulfide + Sulfite + Adenosine 3',5'-bisphosphate",C00342 + C00053 <=> C00343 + C00094 + C00054,1,0,Inf,ec:1.8.4.8,"ro01252, ro10068, ro11012",,"(Kanehisa, Goto et al. 2004)",
,R02508,Cystathionine + Succinate <=> O-Succinyl-L-homoserine + L-Cysteine,C00542 + C00042 <=> C01118 + C00097,-1,-Inf,Inf,ec:2.5.1.48,ro05845,,"(Kanehisa, Goto et al. 2004)",
cyclohexanol:NAD+ oxidoreductase,R02229,Cyclohexanone + NADH + H+ <=> Cyclohexanol + NAD+,C00414 + C00004 + C00080 <=> C00854 + C00003,-1,-Inf,Inf,ec:1.1.1.90,"ro02648, ro02661, ro03285",,"(Kanehisa, Goto et al. 2004)",
"Cyclohexanone,NADPH:oxygen oxidoreductase (6-hydroxylating 1,2-lactonizing)",R02231,Cyclohexanone + Oxygen + NADPH + H+ <=> 6-Hexanolide + NADP+ + H2O,C00414 + C00007 + C00005 + C00080 <=> C01880 + C00006 + C00001,1,0,Inf,ec:1.14.13.22,"ro01874, ro02492, ro03063, ro03247, ro03437, ro06008, ro06679, ro06698, ro08137, ro09035, ro09039, ro10187",,"(Kanehisa, Goto et al. 2004)",
"cyclohexane-1,2-dione acylhydrolase (decyclizing)",R05100,"Adipate semialdehyde <=> Cyclohexan-1,2-dione + H2O",C06102 <=> C06105 + C00001,-1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
6-Hydroxyhexanoate:NADP+ oxidoreductase,R05231,6-Hydroxyhexanoic acid + NADP+ <=> Adipate semialdehyde + NADPH + H+,C06103 + C00006 <=> C06102 + C00005 + C00080,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
(S)-3-hydroxyacyl-CoA:NAD+ oxidoreductase,R06941,(3S)-3-Hydroxyadipyl-CoA + NAD+ <=> 3-Oxoadipyl-CoA + NADH + H+,C14145 + C00003 <=> C02232 + C00004 + C00080,1,-Inf,Inf,ec:1.1.1.35,ro04205,,"(Kanehisa, Goto et al. 2004)",
(3S)-3-hydroxyacyl-CoA hydro-lyase,R06942,5-Carboxy-2-pentenoyl-CoA + H2O <=> (3S)-3-Hydroxyadipyl-CoA,C14144 + C00001 <=> C14145,1,-Inf,Inf,ec:4.2.1.17,"ro00085, ro00401, ro01505, ro01538, ro01540, ro01928, ro01936, ro02286, ro02289, ro02308, ro02669, ro02688, ro02697, ro02707, ro02860, ro02862, ro03070, ro03243, ro03948, ro03957, ro04094, ro04205, ro04249, ro04252, ro04398, ro04594, ro04652, ro04688, ro05033, ro05401, ro06025, ro06118, ro06453, ro06513, ro06681, ro06695, ro07067, ro07071, ro07072, ro08039, ro08049, ro08144, ro08870, ro08944, ro09031, ro10312, ro10316, ro10319, ro10427, ro11182",,"(Kanehisa, Goto et al. 2004)",
,R06943,Adipyl-CoA + FAD <=> 5-Carboxy-2-pentenoyl-CoA + FADH2,C14143 + C00016 <=> C14144 + C01352,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R06944,Adipate + CoA + ATP <=> Adipyl-CoA + AMP + Diphosphate,C06104 + C00010 + C00002 <=> C14143 + C00020 + C00013,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"2,3-dihydro-2,3-dihydroxybenzoate:NAD+ oxidoreductase",R01505,"(2S,3S)-2,3-Dihydro-2,3-dihydroxybenzoate + NAD+ <=> 2,3-Dihydroxybenzoate + NADH + H+",C04171 + C00003 <=> C00196 + C00004 + C00080,1,-Inf,Inf,ec:1.3.1.28,ro04794,,"(Kanehisa, Goto et al. 2004)",
Isochorismate pyruvate-hydrolase,R03037,"Isochorismate + H2O <=> (2S,3S)-2,3-Dihydro-2,3-dihydroxybenzoate + Pyruvate",C00885 + C00001 <=> C04171 + C00022,1,-Inf,Inf,ec:3.3.2.1,ro02318,,"(Kanehisa, Goto et al. 2004)",
Ferrocytochrome-c:oxygen oxidoreductase,R00081,Oxygen + 4 Ferrocytochrome c + 4 H+ <=> 4 Ferricytochrome c + 2 H2O,C00007 + 4 C00126 + 4 C00080 <=> 4 C00125 + 2 C00001,1,0,Inf,ec:1.9.3.1,"ro01130, ro01137, ro04224, ro06446, ro08285",,"(Kanehisa, Goto et al. 2004)",
diphosphate phosphohydrolase; pyrophosphate phosphohydrolase,R00004,Diphosphate + H2O <=> 2 Orthophosphate,C00013 + C00001 <=> 2 C00009,1,0,Inf,ec:3.6.1.1,ro04400,,"(Kanehisa, Goto et al. 2004)",
all-trans-octaprenyl-diphosphate:4-hydroxybenzoate 3-octaprenyltransferase,R05615,all-trans-Octaprenyl diphosphate + 4-Hydroxybenzoate <=> 3-Octaprenyl-4-hydroxybenzoate + Diphosphate,C04146 + C00156 <=> C05809 + C00013,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R08609,Indole <=> Indole-3-acetate,C00463 <=> C00954,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
GDP-mannose mannophosphohydrolase,R00881,GDP-mannose + H2O <=> GMP + D-Mannose 1-phosphate,C00096 + C00001 <=> C00144 + C00636,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
5-Methyltetrahydrofolate:Corrinoid Co-methyltransferase,R02289,5-Methyltetrahydrofolate + Corrinoid + H+ <=> Methylcorrinoid + Tetrahydrofolate,C00440 + C06021 + C00080 <=> C06020 + C00101,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
L-Arabinose aldose-ketose-isomerase,R01761,L-Arabinose <=> L-Ribulose,C00259 <=> C00508,1,-Inf,Inf,ec:5.3.1.4,ro04091,,"(Kanehisa, Goto et al. 2004)",
L-xylulose 1-phosphate glycolaldehyde-lyase (glycerone-phosphate-forming),R01785,L-Xylulose 1-phosphate <=> Glycerone phosphate + Glycolaldehyde,C06441 <=> C00111 + C00266,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
D-mannonate hydro-lyase,R05606,D-Mannonate <=> 2-Dehydro-3-deoxy-D-gluconate + H2O,C00514 <=> C00204 + C00001,-1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase",R08166,"2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate <=> (1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate + Pyruvate",C16519 <=> C05817 + C00022,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R04989,"2-Octaprenyl-6-methoxyphenol + Oxygen + NADPH <=> 2-Octaprenyl-6-methoxy-1,4-benzoquinone + NADP+ + H2O",C05812 + C00007 + C00005 <=> C05813 + C00006 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone ,NADPH2:oxygen oxidoreductase",R06146,"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone + Oxygen + NADPH + H+ <=> 2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone + NADP+ + H2O",C05814 + C00007 + C00005 + C00080 <=> C05815 + C00006 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R07262,"1,4-Dihydroxy-2-naphthoyl-CoA + H2O <=> 1,4-Dihydroxy-2-naphthoate + CoA",C15547 + C00001 <=> C03657 + C00010,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
3beta-Hydroxyandrost-5-en-17-one acetaldehyde-lyase,R03403,3beta-Hydroxyandrost-5-en-17-one + NADP+ + Acetate + H2O <=> 17alpha-Hydroxypregnenolone + NADPH + Oxygen + H+,C01227 + C00006 + C00033 + C00001 <=> C05138 + C00005 + C00007 + C00080,-1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
17alpha-Hydroxyprogesterone acetaldehyde-lyase,R01841,"17alpha-Hydroxyprogesterone <=> Androst-4-ene-3,17-dione + Acetaldehyde",C01176 <=> C00280 + C00084,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"Androst-5-ene-3beta,17beta-diol:NAD+ oxidoreductase",R03406,"Androst-5-ene-3beta,17beta-diol + NAD+ <=> 3beta-Hydroxyandrost-5-en-17-one + NADH + H+",C04295 + C00003 <=> C01227 + C00004 + C00080,-1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
N-Carbamoylputrescine amidohydrolase,R01152,N-Carbamoylputrescine + H2O <=> Putrescine + CO2 + NH3,C00436 + C00001 <=> C00134 + C00011 + C00014,1,-Inf,Inf,ec:3.5.1.53,"ro04386, ro05592",,"(Kanehisa, Goto et al. 2004)",
acetyl-CoA:putrescine N-acetyltransferase,R01154,Acetyl-CoA + Putrescine <=> CoA + N-Acetylputrescine,C00024 + C00134 <=> C00010 + C02714,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
4-acetamidobutanoate amidohydrolase,R01987,4-Aminobutanoate + Acetate <=> 4-Acetamidobutanoate + H2O,C00334 + C00033 <=> C02946 + C00001,-1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"adenosine 3',5'-phosphate 5'-nucleotidohydrolase",R00191,"3',5'-Cyclic AMP + H2O <=> AMP",C00575 + C00001 <=> C00020,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"Guanosine 3',5'-cyclic phosphate 5'-nucleotidohydrolase",R01234,"3',5'-Cyclic GMP + H2O <=> GMP",C00942 + C00001 <=> C00144,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
5-hydroxyisourate amidohydrolase,R06601,"5-Hydroxyisourate + H2O <=> 5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate",C11821 + C00001 <=> C12248,1,0,Inf,ec:3.5.2.17,"ro01567, ro04510",,"(Kanehisa, Goto et al. 2004)",
2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,R06604,"5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate + H+ <=> (S)(+)-Allantoin + CO2",C12248 + C00080 <=> C02350 + C00011,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
(S)-ureidoglycolate urea-lyase (glyoxylate-forming),R00776,(-)-Ureidoglycolate <=> Glyoxylate + Urea,C00603 <=> C00048 + C00086,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"guanosine-3',5'-bis(diphosphate) 3'-diphosphohydrolase",R00336,"Guanosine 3',5'-bis(diphosphate) + H2O <=> GDP + Diphosphate",C01228 + C00001 <=> C00035 + C00013,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
Cytidine ribohydrolase,R02137,Cytidine + H2O <=> Cytosine + D-Ribose,C00475 + C00001 <=> C00380 + C00121,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
Trimethylaminoacetate:L-homosysteine S-methyltransferase,R02821,"Betaine + L-Homocysteine <=> N,N-Dimethylglycine + L-Methionine",C00719 + C00155 <=> C01026 + C00073,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
Acetyl-CoA:glycine C-acetyltransferase,R00371,Acetyl-CoA + Glycine <=> CoA + L-2-Amino-3-oxobutanoic acid,C00024 + C00037 <=> C00010 + C03508,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R03758,Aminoacetone + CO2 <=> L-2-Amino-3-oxobutanoic acid,C01888 + C00011 <=> C03508,-1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
(R)-1-Aminopropan-2-ol:NAD+ oxidoreductase,R03759,(R)-1-Aminopropan-2-ol + NAD+ <=> Aminoacetone + NADH + H+,C03194 + C00003 <=> C01888 + C00004 + C00080,-1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
2-methylpropanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(2-methylpropanoyl)transferase,R02662,2-Methylpropanoyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine,C00630 + C15973 <=> C00010 + C15977,-1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
(S)-2-methylbutanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(2-methylbutanoyl)transferase,R03174,(S)-2-Methylbutanoyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine,C15980 + C15973 <=> C00010 + C15979,-1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
Methylmalonyl-CoA epimerase,R02765,(R)-Methylmalonyl-CoA <=> (S)-Methylmalonyl-CoA,C01213 <=> C00683,1,-Inf,Inf,ec:5.1.99.1,ro01456,,"(Kanehisa, Goto et al. 2004)",
3-methylbutanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(3-methylbutanoyl)transferase,R04097,3-Methylbutanoyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine,C02939 + C15973 <=> C00010 + C15975,-1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
(S)-3-Hydroxyisobutyryl-CoA hydrolase,R05064,(S)-3-Hydroxyisobutyryl-CoA + H2O <=> CoA + (S)-3-Hydroxyisobutyrate,C06000 + C00001 <=> C00010 + C06001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R08098,trans-Geranyl-CoA <=> Geranoyl-CoA,C16465 <=> C01920,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
geranoyl-CoA:carbon-dioxide ligase (ADP-forming),R03494,ATP + Geranoyl-CoA + HCO3- <=> ADP + Orthophosphate + 3-(4-Methylpent-3-en-1-yl)pent-2-enedioyl-CoA,C00002 + C01920 + C00288 <=> C00008 + C00009 + C01291,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
3-(4-methylpent-3-en-1-yl)-pent-2-enedioyl-CoA hydro-lyase,R03493,3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA <=> 3-(4-Methylpent-3-en-1-yl)pent-2-enedioyl-CoA + H2O,C04675 <=> C01291 + C00001,-1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
3-hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA acetate-lyase (7-methyl-3-oxooct-6-enoyl-CoA-forming),R08090,3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA <=> 7-Methyl-3-oxo-6-octenoyl-CoA + Acetate,C04675 <=> C16466 + C00033,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R01652,4-Methyl-2-oxopentanoate + CO2 <=> (2S)-2-Isopropyl-3-oxosuccinate,C00233 + C00011 <=> C04236,-1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"N-Succinyl-L-2,6-diaminoheptanedioate:2-oxoglutarate amino-transferase",R04475,"N-Succinyl-LL-2,6-diaminoheptanedioate + 2-Oxoglutarate <=> N-Succinyl-2-L-amino-6-oxoheptanedioate + L-Glutamate",C04421 + C00026 <=> C04462 + C00025,-1,-Inf,Inf,ec:2.6.1.17,ro04939,,"(Kanehisa, Goto et al. 2004)",
L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase,R05052,L-erythro-4-Hydroxyglutamate + 2-Oxoglutarate <=> D-4-Hydroxy-2-oxoglutarate + L-Glutamate,C05947 + C00026 <=> C05946 + C00025,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
trans-4-Hydroxy-L-proline:(acceptor) oxidoreductase,R03295,trans-4-Hydroxy-L-proline + FAD <=> L-1-Pyrroline-3-hydroxy-5-carboxylate + FADH2,C01157 + C00016 <=> C04281 + C01352,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R04443,L-1-Pyrroline-3-hydroxy-5-carboxylate + H2O <=> L-4-Hydroxyglutamate semialdehyde,C04281 + C00001 <=> C05938,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R04875,Hydantoin-5-propionate + H2O <=> N-Carbamyl-L-glutamate,C05565 + C00001 <=> C05829,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
N-carbamyl-L-glutamate amidohydrolase,R00254,L-Glutamate + NH3 + CO2 <=> N-Carbamyl-L-glutamate + H2O,C00025 + C00014 + C00011 <=> C05829 + C00001,-1,-Inf,Inf,ec:3.5.1.87,ro02816,,"(Kanehisa, Goto et al. 2004)",
L-Histidinol-phosphate phosphohydrolase,R03013,L-Histidinol phosphate + H2O <=> L-Histidinol + Orthophosphate,C01100 + C00001 <=> C00860 + C00009,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R04132,"2-Oxohept-3-enedioate + H2O <=> 2,4-Dihydroxyhept-2-enedioate",C03063 + C00001 <=> C06201,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
Gentisate aldehyde:NAD+ oxidoreductase,R02655,"Gentisate aldehyde + NAD+ + H2O <=> 2,5-Dihydroxybenzoate + NADH + H+",C05585 + C00003 + C00001 <=> C00628 + C00004 + C00080,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
3-fumarylpyruvate fumarylhydrolase,R01085,3-Fumarylpyruvate + H2O <=> Fumarate + Pyruvate,C02514 + C00001 <=> C00122 + C00022,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R05472,"6-Oxo-2-hydroxy-7-(4'-chlorophenyl)-3,8,8,8-tetrachloroocta-2E,4E-dienoate <=> 4-Chlorobenzoate",C06651 <=> C02370,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
4-Chlorobenzoate:CoA ligase,R03932,ATP + 4-Chlorobenzoate + CoA <=> AMP + Diphosphate + 4-Chlorobenzoyl-CoA,C00002 + C02370 + C00010 <=> C00020 + C00013 + C06387,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
4-Chlorobenzoyl CoA chlorohydrolase,R04101,4-Chlorobenzoyl-CoA + H2O <=> 4-Hydroxybenzoyl-CoA + Cl- + H+,C06387 + C00001 <=> C02949 + C00698 + C00080,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R05473,Bis(4'-chlorophenyl)methane <=> 4-Chlorophenylacetate,C06641 <=> C03077,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
L-phenylalanine carboxy-lyase (phenylethylamine-forming),R00699,L-Phenylalanine <=> Phenethylamine + CO2,C00079 <=> C05332 + C00011,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"4-nitrophenol,NADH:oxygen oxidoreductase (2-hydroxylating)",R03023,4-Nitrophenol + Oxygen + NADH + H+ <=> 4-Nitrocatechol + NAD+ + H2O,C00870 + C00007 + C00004 + C00080 <=> C02235 + C00003 + C00001,1,0,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R06849,"1,2,4-Trichlorobenzene <=> 1,4-Dichlorobenzene",C06594 <=> C07092,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
,R06850,"1,4-Dichlorobenzene <=> Chlorobenzene",C07092 <=> C06990,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"cis-1,2-dihydrobenzene-1,2-diol:NAD+ oxidoreductase",R06832,"3,4,6-Trichloro-cis-1,2-dihydroxycyclohexa-3,5-diene + NAD+ <=> 3,4,6-Trichlorocatechol + NADH + H+",C12832 + C00003 <=> C12831 + C00004 + C00080,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"2-chloro-2,5-dihydro-5-oxofuran-2-acetate lyase",R06834,"2,3,5-Trichloro-cis,cis-muconate <=> 2,5-Dichloro-carboxymethylenebut-2-en-4-olide + Hydrochloric acid",C12833 <=> C12834 + C01327,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
"2-chloro-2,5-dihydro-5-oxofuran-2-acetate lyase (decyclizing)",R06840,"2-Chloro-cis,cis-muconate <=> trans-4-Carboxymethylenebut-2-en-4-olide + Hydrochloric acid",C03572 <=> C12838 + C01327,1,-Inf,Inf,,,,"(Kanehisa, Goto et al. 2004)",
